"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","4/6","466/8762",0.00858369098712446,12.5350500715308,6.69850151017889,0.000108766523602215,0.000145022031469621,NA,"his-21/his-47/his-55/sdc-3",4
"GO:0000786","GO:0000786","nucleosome","3/6","40/8762",0.075,109.525,18.0074135261348,1.74639848715018e-06,6.98559394860073e-06,NA,"his-21/his-47/his-55",3
"GO:0032993","GO:0032993","protein-DNA complex","3/6","61/8762",0.0491803278688525,71.8196721311475,14.5289367758155,6.32727880814458e-06,1.26545576162892e-05,NA,"his-21/his-47/his-55",3
"GO:0000785","GO:0000785","chromatin","3/6","227/8762",0.013215859030837,19.2995594713656,7.3122560382213,0.000323954717372753,0.000323954717372753,NA,"his-21/his-47/his-55",3
