"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000786","GO:0000786","nucleosome","2/4","57/9719",0.0350877192982456,85.2543859649123,12.9447441070878,0.00020124844207776,0.000794402405024488,NA,"his-9/his-19",2
"GO:0032993","GO:0032993","protein-DNA complex","2/4","80/9719",0.025,60.74375,10.8872582047383,0.000397201202512244,0.000794402405024488,NA,"his-9/his-19",2
"GO:0000785","GO:0000785","chromatin","2/4","251/9719",0.00796812749003984,19.3605577689243,5.97985491335826,0.00385137324681824,0.00513516432909099,NA,"his-9/his-19",2
