"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","17/115","499/9874",0.0340681362725451,2.92511980482705,4.79063657834128,6.08321416995797e-05,0.00308216184611204,0.00296690094604968,"dcp-66/evl-14/hil-8/his-13/his-20/his-21/his-47/his-55/lin-35/lin-59/rad-50/sdc-3/tbx-36/R09A8.2/cls-3/C09F5.3/sumv-2",17
"GO:0000785","GO:0000785","chromatin","13/115","255/9874",0.0509803921568627,4.37722080136402,5.93110227628724,7.84828743650718e-06,0.00119293969034909,0.00114832837228895,"dcp-66/evl-14/hil-8/his-13/his-20/his-21/his-47/his-55/lin-35/lin-59/tbx-36/R09A8.2/sumv-2",13
"GO:0000786","GO:0000786","nucleosome","6/115","59/9874",0.101694915254237,8.7316138540899,6.46579363145377,5.96751309023373e-05,0.00308216184611204,0.00296690094604968,"hil-8/his-13/his-20/his-21/his-47/his-55",6
